,r_predict,r_reconst
0,0.9953070052479752,-0.9687581259881664
1,0.9251184243073255,-0.1846505946185474
2,0.9961240506743239,0.9749534700535354
3,0.9968803468305185,0.9809415406252898
4,0.9253574656660923,0.08826551569884944
5,0.9959161572606703,-0.977785362460368
6,0.9254704914598855,0.1312939182178343
7,0.9960049718666577,0.9772300205867168
8,0.9257635352866287,-0.062040456198729374
9,0.9254554978091152,0.5639392617153529
10,0.9250344087670296,-0.04055718184334931
11,0.9245411558316088,0.40692920951372186
12,0.9251698983551933,-0.06262286785761438
13,0.9252782401923072,0.11573261862000665
14,0.9255532257076196,-0.2191504226553979
15,0.9250855782437085,0.030135987305358894
16,0.925479670322372,0.0909102436633441
17,0.9953431321379195,-0.9651504054627473
18,0.9965555850278661,-0.9816381529500819
19,0.9251783649971443,-0.3778351678917381
